,player,country_of_origin,team,league,position,age_category
1269,Vinicius Souza,BRA,Espanyol,La Liga,Midfield,young
1270,Leonardo Román,ESP,Mallorca,La Liga,Goalkeeper,young
1271,Luca de la Torre,USA,Celta Vigo,La Liga,Midfield,young
1272,Yan Couto,BRA,Girona,La Liga,Defence,young
1273,Renato Tapia,PER,Celta Vigo,La Liga,Midfield,middle_age
1274,Lee Kang-in,KOR,Mallorca,La Liga,Midfield,young
1275,Gorka Guruzeta,ESP,Athletic Club,La Liga,Forward,young
1276,Stefan Mitrović,SRB,Getafe,La Liga,Defence,seniors
1277,Nicolás Fernández Mercau,Unknown,Elche,La Liga,Defence,young
1278,Alex Sola,ESP,Real Sociedad,La Liga,Defence,young
1279,Andoni Zubiaurre,ESP,Real Sociedad,La Liga,Goalkeeper,young
1280,Víctor Chust,ESP,Cádiz,La Liga,Defence,young
1281,Williot Swedberg,SWE,Celta Vigo,La Liga,Midfield,young
1282,Abdón Prats,ESP,Mallorca,La Liga,Forward,middle_age
1283,Randy Ntekja,FRA,Elche,La Liga,Forward,young
1284,Randy Ntekja,FRA,Elche,La Liga,Forward,young
1285,Randy Ntekja,FRA,Elche,La Liga,Forward,young
1286,Randy Ntekja,FRA,Elche,La Liga,Forward,young
1287,Copete,ESP,Mallorca,La Liga,Defence,young
1288,Axel Werner,ARG,Elche,La Liga,Goalkeeper,middle_age
1289,Gerard Gumbau,ESP,Elche,La Liga,Midfield,middle_age
1290,Pedro Bigas,ESP,Elche,La Liga,Defence,middle_age
1291,Juanmi Latasa,Unknown,Getafe,La Liga,Forward,young
1292,Nico Ribaudo,ESP,Espanyol,La Liga,Midfield,young
1293,Momo Mbaye,Unknown,Cádiz,La Liga,Defence,young
1294,Pablo Torre,Unknown,Barcelona,La Liga,Midfield,young
1295,Ramón Terrats,ESP,Villarreal,La Liga,Midfield,young
1296,Ramón Terrats,ESP,Villarreal,La Liga,Midfield,young
1297,Ramón Terrats,ESP,Villarreal,La Liga,Midfield,young
1298,Ramón Terrats,ESP,Villarreal,La Liga,Midfield,young
1299,Ander Iru,Unknown,Athletic Club,La Liga,Goalkeeper,young
1300,Oier Zarraga,ESP,Athletic Club,La Liga,Midfield,young
1301,Fran Garcia,ESP,Rayo Vallecano,La Liga,Defence,young
1302,Santiago Arzamendia,PAR,Cádiz,La Liga,Defence,young
1303,Javi Hernández,ESP,Girona,La Liga,Defence,young
1304,Abde Ezzalzouli,Unknown,Osasuna,La Liga,Midfield,young
1305,Pablo Ibáñez,ESP,Osasuna,La Liga,Midfield,young
1306,Ángel Algobia,ESP,Getafe,La Liga,Midfield,young
1307,Iglesias,ESP,Getafe,La Liga,Defence,young
1308,Samu Costa,POR,Almería,La Liga,Midfield,young
1309,Ibrahima Kebe,MLI,Girona,La Liga,Midfield,young
1310,Pol Lozano,ESP,Espanyol,La Liga,Midfield,young
1311,Gabriel Veiga,ESP,Celta Vigo,La Liga,Midfield,young
1312,Sergio Akieme,ESP,Almería,La Liga,Defence,young
1313,Iván Fresneda,Unknown,Valladolid,La Liga,Defence,young
1314,John Nwankwo,Unknown,Elche,La Liga,Defence,young
1315,Diego Fuoli,ESP,Almería,La Liga,Goalkeeper,young
1316,Gui Guedes,POR,Almería,La Liga,Midfield,young
1317,Marko Milovanovic,Unknown,Almería,La Liga,Forward,young
1318,Martin Svidersky,Unknown,Almería,La Liga,Midfield,young
1319,Valery Fernández,ESP,Girona,La Liga,Midfield,young
1320,Andrés Martín,ESP,Rayo Vallecano,La Liga,Forward,young
1321,Mario Hernández,ESP,Rayo Vallecano,La Liga,Defence,young
1322,Cristhian Mosquera,COL,Valencia,La Liga,Defence,young
1323,Alejandro Balde,ESP,Barcelona,La Liga,Defence,young
1324,Kike Saverio,ESP,Osasuna,La Liga,Midfield,young
1325,Álvaro Aguado,ESP,Valladolid,La Liga,Midfield,middle_age
1326,Diego González,ESP,Elche,La Liga,Defence,middle_age
1327,Diego González,Unknown,Lazio,Serie A,Midfield,young
1328,Enzo Roco,CHI,Elche,La Liga,Defence,middle_age
1329,Gonzalo Verdú,ESP,Elche,La Liga,Defence,seniors
1330,Helibelton Palacios,COL,Elche,La Liga,Defence,middle_age
1331,Josan,ESP,Elche,La Liga,Defence,seniors
1332,Diego Conde,ESP,Getafe,La Liga,Goalkeeper,young
1333,Arnau Puigmal,ESP,Almería,La Liga,Midfield,young
1334,Largie Ramazani,BEL,Almería,La Liga,Forward,young
1335,Srđan Babić,SRB,Almería,La Liga,Defence,middle_age
1336,Samuel Sáiz,ESP,Girona,La Liga,Midfield,middle_age
1337,Aitor Paredes,Unknown,Athletic Club,La Liga,Defence,young
1338,Santiago Bueno,URU,Girona,La Liga,Defence,young
1339,Toni Fuidias,Unknown,Girona,La Liga,Goalkeeper,young
1340,Morro,ESP,Rayo Vallecano,La Liga,Goalkeeper,young
1341,Joan García,ESP,Espanyol,La Liga,Goalkeeper,young
1342,Lucas Rosa,Unknown,Valladolid,La Liga,Defence,young
1343,Rubén Sánchez,Unknown,Espanyol,La Liga,Defence,young
1344,Omar El Hilali,Unknown,Espanyol,La Liga,Defence,young
1345,Simo Keddari,Unknown,Espanyol,La Liga,Defence,young
1346,Dušan Vlahović,SRB,Juventus,Serie A,Forward,young
1347,Leonardo Bonucci,ITA,Juventus,Serie A,Defence,seniors
1348,Wojciech Szczęsny,POL,Juventus,Serie A,Goalkeeper,seniors
1349,Lautaro Martínez,ARG,Inter,Serie A,Forward,young
1350,Marcelo Brozović,CRO,Inter,Serie A,Midfield,middle_age
1351,Alex Sandro,BRA,Juventus,Serie A,Defence,middle_age
